Wall time,Step,Value
1648612751.9354694,0,0.4057769179344177
1648613203.7240598,1,0.42825940251350403
1648613664.8414407,2,0.4375964105129242
1648614131.4902236,3,0.4504142999649048
1648614602.201533,4,0.45546501874923706
1648615062.2588952,5,0.46051570773124695
1648615490.751307,6,0.4657711982727051
1648615921.2763638,7,0.46874701976776123
1648616376.0636144,8,0.4720504581928253
1648616812.2748365,9,0.48656100034713745
1648617256.5250225,10,0.4897961914539337
1648617682.134527,11,0.48189252614974976
1648618136.8719413,12,0.49023300409317017
1648618588.9870186,13,0.49353644251823425
1648619043.5561552,14,0.4957888126373291
1648619486.868668,15,0.49539291858673096
1648619942.8317215,16,0.5005255341529846
1648620379.411957,17,0.5009350776672363
1648620836.0191512,18,0.5026413798332214
1648621301.7149096,19,0.5031055212020874
1648621756.9342444,20,0.5059175491333008
1648622202.030721,21,0.5054261088371277
1648622638.9353762,22,0.5061359405517578
1648623079.8564029,23,0.5066819787025452
1648623527.2894487,24,0.5110501646995544
1648623966.817116,25,0.5113231539726257
1648624405.6439457,26,0.5138757824897766
1648624849.650872,27,0.5107225179672241
1648625285.3170793,28,0.5145310163497925
1648625735.1592534,29,0.5137256383895874
1648626186.691402,30,0.5158687829971313
1648626642.762053,31,0.5169199109077454
1648627092.466218,32,0.5145310163497925
1648627546.4927585,33,0.5185716152191162
1648627995.2525609,34,0.5159370303153992
1648628470.2950876,35,0.5187627077102661
1648628912.1345024,36,0.5207693576812744
1648629352.1395872,37,0.5206465125083923
1648629790.855116,38,0.5262295603752136
1648630216.1817691,39,0.518735408782959
