Wall time,Step,Value
1651826892.7437406,0,0.39893800020217896
1651826995.9210327,1,0.4056813716888428
1651827099.2382889,2,0.403920441865921
1651827201.988596,3,0.4153869152069092
1651827304.4102113,4,0.4300885796546936
1651827408.6832087,5,0.43477073311805725
1651827511.0486548,6,0.4281229078769684
1651827612.0632956,7,0.4419509470462799
1651827715.3008988,8,0.44285187125205994
1651827818.9369109,9,0.45175203680992126
1651827921.3237684,10,0.452612042427063
1651828027.8848114,11,0.4557926058769226
1651828129.8087466,12,0.45906874537467957
1651828232.9449236,13,0.46055665612220764
1651828327.6356514,14,0.46160775423049927
1651828421.8581927,15,0.4633823335170746
1651828516.575417,16,0.46544358134269714
1651828611.4059372,17,0.46862414479255676
1651828706.268648,18,0.4704669713973999
1651828800.759438,19,0.4701939821243286
1651828895.8930304,20,0.47794750332832336
1651828990.7846859,21,0.4766097366809845
1651829085.7506106,22,0.47858908772468567
1651829181.1093757,23,0.47796115279197693
1651829275.9265616,24,0.48321661353111267
1651829370.4644468,25,0.48329851031303406
1651829464.8057818,26,0.48428136110305786
1651829558.7537904,27,0.4831620156764984
1651829652.9191175,28,0.486574649810791
1651829746.9118278,29,0.48455438017845154
1651829841.335579,30,0.4910793602466583
1651829935.3025546,31,0.481810599565506
1651830032.097152,32,0.4912704527378082
1651830128.111805,33,0.4867384731769562
1651830223.8577456,34,0.49183014035224915
1651830318.3940787,35,0.49038317799568176
1651830412.6260848,36,0.49303138256073
1651830507.4835508,37,0.49436914920806885
1651830601.8878846,38,0.49596625566482544
1651830695.8064656,39,0.49722209572792053
