Wall time,Step,Value
1651924772.7632253,0,0.3986513316631317
1651924894.2934685,1,0.40398868918418884
1651925010.2248526,2,0.41948211193084717
1651925126.9667404,3,0.421679824590683
1651925245.5086691,4,0.4214750826358795
1651925363.649651,5,0.43139904737472534
1651925478.444437,6,0.4334193468093872
1651925596.062214,7,0.4417325258255005
1651925713.0666583,8,0.4444490075111389
1651925825.39394,9,0.45213428139686584
1651925944.1128492,10,0.4541272521018982
1651926060.2362764,11,0.4477251172065735
1651926179.4587357,12,0.4535266160964966
1651926295.7558372,13,0.4551783502101898
1651926409.8211544,14,0.4561338722705841
1651926522.5958164,15,0.4592325687408447
1651926627.6213248,16,0.46298646926879883
1651926744.7018187,17,0.46179887652397156
1651926854.2335634,18,0.4612528383731842
1651926972.9111714,19,0.4634915292263031
1651927089.4105666,20,0.4659486413002014
1651927209.718048,21,0.46510231494903564
1651927313.2117972,22,0.4686787724494934
1651927432.0607998,23,0.4701530337333679
1651927538.3743799,24,0.46908828616142273
1651927654.288598,25,0.4683375060558319
1651927770.1603174,26,0.4720641076564789
1651927887.6535647,27,0.4721323549747467
1651928014.2012155,28,0.47624117136001587
1651928133.062067,29,0.46612611413002014
1651928270.039765,30,0.47310155630111694
1651928408.5356908,31,0.4744119942188263
1651928545.0392737,32,0.4764868915081024
1651928682.4841936,33,0.47711482644081116
1651928823.4398756,34,0.4784389138221741
1651928959.249552,35,0.4788757264614105
1651929089.7645533,36,0.47772908210754395
1651929224.3020566,37,0.4791077971458435
1651929367.977841,38,0.4763094186782837
1651929513.8897498,39,0.47745609283447266
