Wall time,Step,Value
1648213781.9790382,0,0.7006292939186096
1648214132.9510727,1,0.7250638008117676
1648214529.4921334,2,0.7349468469619751
1648214928.60531,3,0.7417038679122925
1648215330.0329452,4,0.7468637824058533
1648215724.1892178,5,0.7496758103370667
1648216119.9044862,6,0.7516961097717285
1648216510.8405416,7,0.7557775974273682
1648216901.6938174,8,0.7580572366714478
1648217293.7030036,9,0.7579070925712585
1648217686.8142393,10,0.7570607662200928
1648218141.4502354,11,0.7594496011734009
1648218742.391885,12,0.7601867318153381
1648219260.551848,13,0.7617838382720947
1648219781.9014535,14,0.7622206807136536
1648220175.9561636,15,0.7635174989700317
1648220567.4631014,16,0.762302577495575
1648220954.2422795,17,0.7645276188850403
1648221343.2750165,18,0.7632171511650085
1648221732.1226602,19,0.7647323608398438
1648222130.0759413,20,0.7645822167396545
1648222520.7327435,21,0.7660428285598755
1648222909.8197472,22,0.766056478023529
1648223299.8881228,23,0.7658244371414185
1648223690.2796357,24,0.7660291790962219
1648224080.4756708,25,0.7672850489616394
1648224472.3841248,26,0.7682678699493408
1648224864.183869,27,0.7681723237037659
1648225254.4975884,28,0.7682815194129944
1648225645.881446,29,0.7682405710220337
1648226042.874298,30,0.7668209075927734
1648226434.370853,31,0.76841801404953
1648226827.9309032,32,0.7700151801109314
1648227218.73332,33,0.7686228156089783
1648227608.830617,34,0.7688275575637817
1648227998.5977986,35,0.7683907151222229
1648228390.7456121,36,0.7692506909370422
1648228781.0393882,37,0.770028829574585
1648229172.140999,38,0.7696056365966797
1648229567.5590625,39,0.7708069086074829
